time,Time,Referencevalues 
2022-11-02T17:00:13+05:30,17:00:13,938
2022-11-02T17:01:04+05:30,17:01:04,928
2022-11-02T17:01:56+05:30,17:01:56,934
2022-11-02T17:02:48+05:30,17:02:48,960
2022-11-02T17:03:39+05:30,17:03:39,938
2022-11-02T17:04:32+05:30,17:04:32,918
2022-11-02T17:05:23+05:30,17:05:23,918
2022-11-02T17:06:13+05:30,17:06:13,912
2022-11-02T17:07:06+05:30,17:07:06,890
2022-11-02T17:07:58+05:30,17:07:58,882
2022-11-02T17:08:50+05:30,17:08:50,884
2022-11-02T17:09:41+05:30,17:09:41,886
2022-11-02T17:10:34+05:30,17:10:34,886
2022-11-02T17:11:25+05:30,17:11:25,886
2022-11-02T17:12:17+05:30,17:12:17,894
2022-11-02T17:13:08+05:30,17:13:08,912
2022-11-02T17:14:00+05:30,17:14:00,916
2022-11-02T17:14:54+05:30,17:14:54,882
2022-11-02T17:15:45+05:30,17:15:45,894
2022-11-02T17:16:36+05:30,17:16:36,890
2022-11-02T17:17:27+05:30,17:17:27,862
2022-11-02T17:18:19+05:30,17:18:19,836
2022-11-02T17:19:13+05:30,17:19:13,862
2022-11-02T17:20:05+05:30,17:20:05,868
2022-11-02T17:20:56+05:30,17:20:56,848
2022-11-02T17:21:47+05:30,17:21:47,852
2022-11-02T17:22:38+05:30,17:22:38,860
2022-11-02T17:23:28+05:30,17:23:28,864
2022-11-02T17:24:20+05:30,17:24:20,864
2022-11-02T17:25:11+05:30,17:25:11,858
2022-11-02T17:26:03+05:30,17:26:03,848
2022-11-02T17:26:55+05:30,17:26:55,840
2022-11-02T17:27:45+05:30,17:27:45,826
2022-11-02T17:28:37+05:30,17:28:37,828
2022-11-02T17:29:28+05:30,17:29:28,852
2022-11-02T17:30:24+05:30,17:30:24,840
2022-11-02T17:31:14+05:30,17:31:14,830
2022-11-02T17:32:04+05:30,17:32:04,828
2022-11-02T17:32:55+05:30,17:32:55,822
2022-11-02T17:33:46+05:30,17:33:46,832
2022-11-02T17:34:38+05:30,17:34:38,836
2022-11-02T17:35:28+05:30,17:35:28,834
2022-11-02T17:36:19+05:30,17:36:19,858
2022-11-02T17:37:10+05:30,17:37:10,858
2022-11-02T17:38:01+05:30,17:38:01,846
2022-11-02T17:38:52+05:30,17:38:52,822
2022-11-02T17:39:42+05:30,17:39:42,816
2022-11-02T17:40:33+05:30,17:40:33,812
2022-11-02T17:41:24+05:30,17:41:24,808
2022-11-02T17:42:15+05:30,17:42:15,816
2022-11-02T17:43:06+05:30,17:43:06,820
2022-11-02T17:43:56+05:30,17:43:56,820
2022-11-02T17:44:47+05:30,17:44:47,808
2022-11-02T17:45:39+05:30,17:45:39,816
2022-11-02T17:46:30+05:30,17:46:30,828
2022-11-02T17:47:21+05:30,17:47:21,818
2022-11-02T17:48:11+05:30,17:48:11,818
2022-11-02T17:49:02+05:30,17:49:02,808
2022-11-02T17:49:53+05:30,17:49:53,792
2022-11-02T17:50:44+05:30,17:50:44,778
2022-11-02T17:51:35+05:30,17:51:35,776
2022-11-02T17:52:25+05:30,17:52:25,778
2022-11-02T17:53:16+05:30,17:53:16,770
2022-11-02T17:54:07+05:30,17:54:07,760
2022-11-02T17:55:00+05:30,17:55:00,772
2022-11-02T17:55:51+05:30,17:55:51,762
2022-11-02T17:56:45+05:30,17:56:45,758
2022-11-02T17:57:35+05:30,17:57:35,780
2022-11-02T17:58:30+05:30,17:58:30,778
2022-11-02T17:59:21+05:30,17:59:21,770
2022-11-02T18:00:12+05:30,18:00:12,772
2022-11-02T18:01:08+05:30,18:01:08,756
2022-11-02T18:01:59+05:30,18:01:59,750
2022-11-02T18:02:50+05:30,18:02:50,764
2022-11-02T18:03:41+05:30,18:03:41,780
2022-11-02T18:04:32+05:30,18:04:32,768
2022-11-02T18:05:22+05:30,18:05:22,766
2022-11-02T18:06:13+05:30,18:06:13,774
2022-11-02T18:07:04+05:30,18:07:04,780
2022-11-02T18:07:56+05:30,18:07:56,766
2022-11-02T18:08:47+05:30,18:08:47,764
2022-11-02T18:09:37+05:30,18:09:37,770
2022-11-02T18:10:28+05:30,18:10:28,762
2022-11-02T18:11:19+05:30,18:11:19,744
2022-11-02T18:12:10+05:30,18:12:10,746
2022-11-02T18:13:01+05:30,18:13:01,752
2022-11-02T18:13:51+05:30,18:13:51,758
2022-11-02T18:14:42+05:30,18:14:42,754
2022-11-02T18:15:33+05:30,18:15:33,764
2022-11-02T18:17:19+05:30,18:17:19,772
2022-11-02T18:18:09+05:30,18:18:09,760
2022-11-02T18:19:00+05:30,18:19:00,758
2022-11-02T18:19:51+05:30,18:19:51,756
2022-11-02T18:20:43+05:30,18:20:43,778
2022-11-02T18:21:34+05:30,18:21:34,776
2022-11-02T18:22:24+05:30,18:22:24,748
2022-11-02T18:23:15+05:30,18:23:15,742
2022-11-02T18:24:06+05:30,18:24:06,764
2022-11-02T18:24:57+05:30,18:24:57,774
2022-11-02T18:25:47+05:30,18:25:47,764
2022-11-02T18:26:38+05:30,18:26:38,754
2022-11-02T18:27:31+05:30,18:27:31,764
2022-11-02T18:28:22+05:30,18:28:22,770
2022-11-02T18:29:13+05:30,18:29:13,778
2022-11-02T18:30:04+05:30,18:30:04,780
2022-11-02T18:30:55+05:30,18:30:55,786
2022-11-02T18:31:46+05:30,18:31:46,788
2022-11-02T18:32:37+05:30,18:32:37,782
2022-11-02T18:33:28+05:30,18:33:28,792
2022-11-02T18:34:18+05:30,18:34:18,788
2022-11-02T18:35:09+05:30,18:35:09,784
2022-11-02T18:36:00+05:30,18:36:00,780
2022-11-02T18:36:52+05:30,18:36:52,784
2022-11-02T18:37:42+05:30,18:37:42,798
2022-11-02T18:38:33+05:30,18:38:33,790
2022-11-02T18:39:25+05:30,18:39:25,786
2022-11-02T18:40:16+05:30,18:40:16,806
2022-11-02T18:41:07+05:30,18:41:07,804
2022-11-02T18:41:58+05:30,18:41:58,794
2022-11-02T18:42:48+05:30,18:42:48,794
2022-11-02T18:43:39+05:30,18:43:39,806
2022-11-02T18:44:31+05:30,18:44:31,806
2022-11-02T18:45:22+05:30,18:45:22,790
2022-11-02T18:46:12+05:30,18:46:12,788
